,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,renovated_or_not,stye
0,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1340,5650,0,1
1,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1690,7639,1,1
2,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,2720,8062,0,1
3,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1360,5000,0,2
4,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1800,7503,0,3
6,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,2238,6819,0,3
7,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1650,9711,0,2
8,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1780,8113,0,2
9,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2390,7570,0,3
10,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,2210,8925,0,2
11,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1330,6000,0,1
12,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1780,12697,0,0
13,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1370,10208,0,2
14,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1360,4850,0,0
15,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,2140,4000,0,2
16,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1890,14018,0,3
17,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1610,4300,0,0
18,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1060,5095,0,0
19,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1280,8850,0,2
20,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1400,4980,0,1
22,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,2240,7005,0,3
23,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1220,8386,0,2
24,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,2200,6865,0,2
25,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1030,4705,0,1
26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1760,3573,0,0
27,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1860,3861,0,0
28,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1520,6235,0,1
29,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2630,6026,0,3
30,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2580,3980,0,3
31,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,1390,1756,0,3
32,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1460,5000,0,1
33,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1570,5080,0,1
34,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,2020,8720,0,2
35,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1590,3264,1,1
36,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,2160,11467,0,1
37,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1730,4700,0,0
38,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1290,7800,0,2
39,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,2620,11884,0,3
40,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2470,5669,0,3
43,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1580,2640,0,0
44,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1340,8808,0,2
45,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,3050,9232,0,3
46,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1228,8840,0,2
47,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,2680,13685,0,2
48,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,970,5100,0,1
50,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1190,9364,0,1
51,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1990,9133,0,2
52,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1410,4080,0,1
53,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1480,6738,0,2
54,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,2730,6000,0,0
55,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1950,5000,0,3
56,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2250,4500,0,3
57,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2690,4750,0,3
58,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,2960,11044,0,2
59,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,2270,8542,0,3
61,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1290,8750,0,1
62,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,2500,9500,0,2
63,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,1580,3090,0,3
64,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1440,4080,0,2
65,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1440,4000,0,0
66,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,2750,11049,0,3
67,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2221,4557,0,3
68,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1010,12635,0,2
71,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1640,4745,0,2
72,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1510,7807,0,0
73,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2420,5000,0,3
